type,Unnamed: 0,k,old_p,old_r,old_f,new_p,new_r,new_f
BPR,16,0,0.6012872855082431,0.6761491656123864,0.5557160331217599,0.07450440154954906,0.004042061842774198,0.0037156017685287474
CNN,18,0,0.6012872855082431,0.6761491656123864,0.5557160331217599,0.10217105263157895,0.5,0.10538472104729397
CRNN,20,0,0.6012872855082431,0.6761491656123864,0.5557160331217599,0.49782991786031944,0.5230797035966022,0.47564862191906015
DNN,19,0,0.6012872855082431,0.6761491656123864,0.5557160331217599,0.4963815789473684,0.5,0.49818421921426215
GRU,17,0,0.6012872855082431,0.6761491656123864,0.5557160331217599,0.5013425220059742,0.5280920537381769,0.49740844252090605
IR,14,0,0.6012872855082431,0.6761491656123864,0.5557160331217599,0.4963815789473684,0.5,0.49818421921426215
SVDpp,15,0,0.6012872855082431,0.6761491656123864,0.5557160331217599,0.506885139906856,0.502162780890415,0.4598042484686662
