,instance,type,k,old_p,old_r,old_f,new_p,new_r,new_f
0,1 AMC DataType Ontobuilder Dominants,IR,0,0.5094161012175368,0.7426953430929575,0.4515562248995984,0.4963815789473684,0.5,0.4981842192142621
1,1 AMC DataType Ontobuilder Dominants,SVDpp,0,0.5094161012175368,0.7426953430929575,0.4515562248995984,0.5005340893951116,0.5137658895114163,0.43665286144578314
2,1 AMC DataType Ontobuilder Dominants,BPR,0,0.5094161012175368,0.7426953430929575,0.4515562248995984,0.004878048780487805,3.8791640401493474e-05,7.697118391302255e-05
3,1 AMC DataType Ontobuilder Dominants,GRU,0,0.5094161012175368,0.7426953430929575,0.4515562248995984,0.49636243386243384,0.49734923790589797,0.4968553459119497
4,1 AMC DataType Ontobuilder Dominants,CNN,0,0.5094161012175368,0.7426953430929575,0.4515562248995984,0.003618421052631579,0.5,0.0071848465055519275
5,1 AMC DataType Ontobuilder Dominants,DNN,0,0.5094161012175368,0.7426953430929575,0.4515562248995984,0.4963815789473684,0.5,0.4981842192142621
6,1 AMC DataType Ontobuilder Dominants,CRNN,0,0.5094161012175368,0.7426953430929575,0.4515562248995984,0.4963815789473684,0.5,0.4981842192142621
7,1 AMC DataType,IR,0,0.5043536596570117,0.6513042954394843,0.33732636676436856,0.4963815789473684,0.5,0.4981842192142621
8,1 AMC DataType,SVDpp,0,0.5043536596570117,0.6513042954394843,0.33732636676436856,0.499083850635584,0.46816073257425145,0.3305297141157979
9,1 AMC DataType,BPR,0,0.5043536596570117,0.6513042954394843,0.33732636676436856,0.006161238788885115,0.0013911024212849624,0.0008664974071249213
10,1 AMC DataType,GRU,0,0.5043536596570117,0.6513042954394843,0.33732636676436856,0.5085631918146635,0.6238327610096994,0.48912280701754385
11,1 AMC DataType,CNN,0,0.5043536596570117,0.6513042954394843,0.33732636676436856,0.003618421052631579,0.5,0.0071848465055519275
12,1 AMC DataType,DNN,0,0.5043536596570117,0.6513042954394843,0.33732636676436856,0.4963815789473684,0.5,0.4981842192142621
13,1 AMC DataType,CRNN,0,0.5043536596570117,0.6513042954394843,0.33732636676436856,0.5036715191261585,0.6220254232182661,0.38884166498009853
14,1 AMC DataType Ontobuilder MWBG,IR,0,0.49633333333333335,0.4933730947647449,0.4948487869724161,0.4963815789473684,0.5,0.4981842192142621
15,1 AMC DataType Ontobuilder MWBG,SVDpp,0,0.49633333333333335,0.4933730947647449,0.4948487869724161,0.49633333333333335,0.4933730947647449,0.4948487869724161
16,1 AMC DataType Ontobuilder MWBG,BPR,0,0.49633333333333335,0.4933730947647449,0.4948487869724161,0.11148272017837235,0.013561727279421116,0.007429213773023375
17,1 AMC DataType Ontobuilder MWBG,GRU,0,0.49633333333333335,0.4933730947647449,0.4948487869724161,0.5091216216216216,0.5325320802457979,0.5114111218257795
18,1 AMC DataType Ontobuilder MWBG,CNN,0,0.49633333333333335,0.4933730947647449,0.4948487869724161,0.003618421052631579,0.5,0.0071848465055519275
19,1 AMC DataType Ontobuilder MWBG,DNN,0,0.49633333333333335,0.4933730947647449,0.4948487869724161,0.4963815789473684,0.5,0.4981842192142621
20,1 AMC DataType Ontobuilder MWBG,CRNN,0,0.49633333333333335,0.4933730947647449,0.4948487869724161,0.4963815789473684,0.5,0.4981842192142621
21,1 exactMatch,IR,0,1.0,1.0,1.0,0.4963815789473684,0.5,0.4981842192142621
22,1 exactMatch,SVDpp,0,1.0,1.0,1.0,0.5421410928369179,0.5421410928369179,0.5421410928369179
23,1 exactMatch,BPR,0,1.0,1.0,1.0,0.125,0.003396288933068257,0.0066129032258064515
24,1 exactMatch,GRU,0,1.0,1.0,1.0,0.4963815789473684,0.5,0.4981842192142621
25,1 exactMatch,CNN,0,1.0,1.0,1.0,0.003618421052631579,0.5,0.0071848465055519275
26,1 exactMatch,DNN,0,1.0,1.0,1.0,0.4963815789473684,0.5,0.4981842192142621
27,1 exactMatch,CRNN,0,1.0,1.0,1.0,0.4963815789473684,0.5,0.4981842192142621
28,1 AMC DataType Ontobuilder Intersection,IR,0,0.49633333333333335,0.4933730947647449,0.4948487869724161,0.4963815789473684,0.5,0.4981842192142621
29,1 AMC DataType Ontobuilder Intersection,SVDpp,0,0.49633333333333335,0.4933730947647449,0.4948487869724161,0.49633333333333335,0.4933730947647449,0.4948487869724161
30,1 AMC DataType Ontobuilder Intersection,BPR,0,0.49633333333333335,0.4933730947647449,0.4948487869724161,0.125,0.0018223989396951624,0.0035924232527759638
31,1 AMC DataType Ontobuilder Intersection,GRU,0,0.49633333333333335,0.4933730947647449,0.4948487869724161,0.4962837837837838,0.4867461895294897,0.49146871863499497
32,1 AMC DataType Ontobuilder Intersection,CNN,0,0.49633333333333335,0.4933730947647449,0.4948487869724161,0.4963815789473684,0.5,0.4981842192142621
33,1 AMC DataType Ontobuilder Intersection,DNN,0,0.49633333333333335,0.4933730947647449,0.4948487869724161,0.4963815789473684,0.5,0.4981842192142621
34,1 AMC DataType Ontobuilder Intersection,CRNN,0,0.49633333333333335,0.4933730947647449,0.4948487869724161,0.49633333333333335,0.4933730947647449,0.4948487869724161
