type,Unnamed: 0,k,old_p,old_r,old_f,new_p,new_r,new_f
CNN,42486,0,0.6010971517169932,0.6773617285655598,0.5760476753104384,0.4945168597263969,0.5,0.49723810309707805
CRNN,42488,0,0.6010971517169932,0.6773617285655598,0.5760476753104384,0.6519042246967938,0.6017719112379998,0.6081459376305385
DNN,42487,0,0.6010971517169932,0.6773617285655598,0.5760476753104384,0.4945168597263969,0.5,0.49723810309707805
GRU,42485,0,0.6010971517169932,0.6773617285655598,0.5760476753104384,0.4945168597263969,0.5,0.49723810309707805
IR,42483,0,0.6010971517169932,0.6773617285655598,0.5760476753104384,0.5975960834304335,0.6471970502660593,0.583922182700767
SVDpp,42484,0,0.6010971517169932,0.6773617285655598,0.5760476753104384,0.5015356111143496,0.5034213251648404,0.4890866571147533
